Hour,Screen Time (Mins),Chord,Octave
2022-05-25 00:00:00,32.75,"F#m (F#, A, C#)",5
2022-05-25 02:00:00,98.01666666666667,"Gm (G, A#, D)",4
2022-05-25 03:00:00,76.16666666666667,"Bm (B, D, F#)",4
2022-05-25 08:00:00,282.48333333333335,"Cm (C, D#, G)",2
2022-05-25 09:00:00,14.316666666666666,"A (A, C#, E)",5
2022-05-25 16:00:00,1.1833333333333333,"B (B, D#, F#)",5
2022-05-25 17:00:00,37.13333333333333,"Fm (F, G#, C)",5
2022-05-25 18:00:00,37.449999999999996,"Fm (F, G#, C)",5
2022-05-25 19:00:00,60.75,"C#m (C#, E, G#)",5
2022-05-25 20:00:00,13.183333333333332,"A (A, C#, E)",5
2022-05-25 21:00:00,33.516666666666666,"F#m (F#, A, C#)",5
2022-05-25 22:00:00,0.13333333333333333,"B (B, D#, F#)",5
