Day,Screen Time (Mins)
2022-02-02,22.266666666666666
2022-02-03,41.85
2022-02-04,207.21666666666667
2022-02-05,53.61666666666667
2022-02-06,136.96666666666667
2022-02-07,167.5
2022-02-08,186.31666666666666
2022-02-09,79.0
2022-02-10,53.65
2022-02-11,74.3
2022-02-12,100.1
2022-02-13,158.06666666666666
2022-02-14,163.35
2022-02-15,124.48333333333333
2022-02-16,100.45
2022-02-17,57.766666666666666
2022-02-18,239.25
2022-02-19,99.89999999999999
2022-02-20,79.35
2022-02-21,101.66666666666667
2022-02-22,78.23333333333333
2022-02-23,149.41666666666666
2022-02-24,114.1
2022-02-25,127.18333333333334
2022-02-26,154.70000000000002
2022-02-27,150.38333333333333
2022-02-28,104.86666666666666
2022-03-01,102.25
2022-03-02,189.45
2022-03-03,219.88333333333333
2022-03-04,179.01666666666668
2022-03-05,194.88333333333333
2022-03-06,130.66666666666666
2022-03-07,198.36666666666667
2022-03-08,83.51666666666667
2022-03-09,266.51666666666665
2022-03-10,170.28333333333333
2022-03-11,102.85
2022-03-12,229.08333333333334
2022-03-13,138.88333333333333
2022-03-14,278.3
2022-03-15,241.9
2022-03-16,220.76666666666668
2022-03-17,267.9
2022-03-18,202.66666666666666
2022-03-19,189.63333333333333
2022-03-20,112.13333333333334
2022-03-21,256.6666666666667
2022-03-22,225.06666666666666
2022-03-23,185.63333333333335
2022-03-24,112.51666666666667
2022-03-25,55.0
2022-03-26,226.71666666666667
2022-03-27,182.63333333333335
2022-03-28,113.81666666666666
2022-03-29,170.56666666666666
2022-03-30,242.58333333333334
2022-03-31,259.6333333333333
2022-04-01,257.06666666666666
2022-04-02,235.60000000000002
2022-04-03,232.45000000000002
2022-04-04,100.63333333333333
2022-04-05,228.05
2022-04-06,283.4666666666667
2022-04-07,263.43333333333334
2022-04-08,403.0
2022-04-09,177.2
2022-04-10,255.33333333333331
2022-04-11,88.16666666666667
2022-04-12,174.1
2022-04-13,46.766666666666666
2022-04-14,159.58333333333334
2022-04-15,100.61666666666667
2022-04-16,81.28333333333333
2022-04-17,190.33333333333334
2022-04-18,85.88333333333334
2022-04-19,151.85
2022-04-20,104.08333333333333
2022-04-21,213.91666666666666
2022-04-22,87.0
2022-04-23,172.83333333333334
2022-04-24,141.15
2022-04-25,95.85
2022-04-26,121.96666666666667
2022-04-27,47.18333333333334
2022-04-28,173.88333333333335
2022-04-29,397.75
2022-04-30,154.3
2022-05-01,205.43333333333334
2022-05-02,160.45
2022-05-03,273.21666666666664
2022-05-04,393.2
2022-05-05,134.11666666666667
2022-05-06,184.31666666666666
2022-05-07,78.61666666666667
2022-05-08,253.33333333333331
2022-05-09,236.03333333333333
2022-05-10,178.88333333333333
2022-05-11,191.61666666666667
2022-05-12,270.4166666666667
2022-05-13,181.93333333333334
2022-05-14,134.18333333333334
2022-05-15,232.3
2022-05-16,355.8333333333333
2022-05-17,151.56666666666666
2022-05-18,117.06666666666666
2022-05-19,92.85
2022-05-20,74.08333333333334
2022-05-21,12.733333333333333
2022-05-22,124.78333333333333
2022-05-23,306.8666666666667
2022-05-24,556.0666666666667
2022-05-25,687.0833333333334
2022-05-26,378.7
2022-05-27,349.1166666666667
2022-05-28,113.66666666666667
2022-05-29,387.51666666666665
2022-05-30,295.73333333333335
2022-05-31,259.5
2022-06-01,383.23333333333335
2022-06-02,576.7833333333333
2022-06-03,539.75
2022-06-04,464.2166666666667
2022-06-05,440.5333333333333
2022-06-06,323.84999999999997
2022-06-07,283.4166666666667
2022-06-08,399.4166666666667
2022-06-09,353.48333333333335
2022-06-10,372.6166666666667
2022-06-11,362.25
2022-06-12,146.28333333333333
2022-06-13,277.0
2022-06-14,335.1
2022-06-15,405.06666666666666
2022-06-16,175.36666666666667
2022-06-17,272.6166666666667
2022-06-18,212.63333333333333
2022-06-19,354.5
2022-06-20,251.33333333333334
2022-06-21,205.36666666666667
2022-06-22,314.95
2022-06-23,284.1166666666667
2022-06-24,413.25
2022-06-25,298.96666666666664
2022-06-26,191.88333333333333
2022-06-27,108.66666666666667
2022-06-28,142.3
2022-06-29,290.6666666666667
2022-06-30,254.73333333333335
2022-07-01,172.0
2022-07-02,432.4666666666667
2022-07-03,532.4
2022-07-04,226.2
2022-07-05,269.8
2022-07-06,428.48333333333335
2022-07-07,341.35
2022-07-08,117.3
2022-07-09,221.4
2022-07-10,220.33333333333334
2022-07-11,273.3833333333333
2022-07-12,305.1666666666667
2022-07-13,243.36666666666667
2022-07-14,285.0833333333333
2022-07-15,129.6
2022-07-16,213.43333333333334
2022-07-17,348.25
2022-07-18,228.63333333333333
2022-07-19,236.18333333333334
2022-07-20,258.7
2022-07-21,245.65
2022-07-22,212.48333333333332
2022-07-23,34.483333333333334
2022-07-24,90.2
2022-07-25,117.01666666666667
2022-07-26,314.5
2022-07-27,120.48333333333333
2022-07-28,104.15
2022-07-29,188.91666666666666
2022-07-30,251.31666666666666
2022-07-31,105.6
2022-08-01,45.71666666666667
2022-08-02,142.96666666666667
2022-08-03,157.11666666666667
2022-08-04,166.05
2022-08-05,155.3
2022-08-06,132.01666666666668
2022-08-07,133.63333333333333
2022-08-08,16.65
2022-08-12,17.383333333333333
2022-08-13,2.5
2022-08-14,30.766666666666666
2022-08-15,2.4833333333333334
2022-08-23,1.35
2022-08-26,74.61666666666666
2022-08-27,163.95
2022-08-28,137.29999999999998
2022-08-29,132.93333333333334
2022-08-30,134.70000000000002
2022-08-31,143.96666666666667
2022-09-01,139.55
2022-09-02,180.21666666666667
2022-09-03,221.75
2022-09-04,227.91666666666669
2022-09-05,151.95000000000002
2022-09-06,167.5
2022-09-07,254.8
2022-09-08,178.03333333333333
2022-09-09,251.21666666666667
2022-09-10,120.7
2022-09-11,94.78333333333333
2022-09-12,222.3
2022-09-13,248.53333333333333
2022-09-14,248.16666666666666
2022-09-15,139.35
2022-09-16,310.8333333333333
2022-09-17,94.93333333333334
2022-09-18,246.54999999999998
2022-09-19,64.23333333333333
2022-09-20,140.43333333333334
2022-09-21,204.33333333333334
2022-09-23,73.83333333333333
2022-09-24,59.88333333333333
2022-09-25,179.1
