Hour,Screen Time (Mins),Chord,Octave
2022-04-22 00:00:00,6.616666666666667,"F# (F#, A#, C#)",5
2022-04-22 01:00:00,7.983333333333333,"F (F, A, C)",5
2022-04-22 02:00:00,1.5333333333333334,"A# (A#, D, F)",5
2022-04-22 04:00:00,2.066666666666667,"A# (A#, D, F)",5
2022-04-22 06:00:00,24.116666666666667,"Em (E, G, B)",4
2022-04-22 15:00:00,0.43333333333333335,"B (B, D#, F#)",5
2022-04-22 16:00:00,0.9333333333333333,"B (B, D#, F#)",5
2022-04-22 17:00:00,5.133333333333333,"G (G, B, D)",5
2022-04-22 18:00:00,0.7166666666666667,"B (B, D#, F#)",5
2022-04-22 19:00:00,9.083333333333334,"E (E, G#, B)",5
2022-04-22 20:00:00,7.75,"F (F, A, C)",5
2022-04-22 21:00:00,3.3666666666666667,"A (A, C#, E)",5
2022-04-22 22:00:00,16.083333333333332,"B (B, D#, F#)",4
2022-04-22 23:00:00,1.1833333333333333,"B (B, D#, F#)",5
