Hour,Screen Time (Mins),Chord,Octave
2022-06-26 00:00:00,45.2,"Dm (D, F, A)",3
2022-06-26 02:00:00,63.88333333333333,"Cm (C, D#, G)",2
2022-06-26 03:00:00,12.816666666666666,"D (D, F#, A)",5
2022-06-26 04:00:00,10.666666666666666,"D# (D#, G, A#)",5
2022-06-26 13:00:00,1.1333333333333333,"B (B, D#, F#)",5
2022-06-26 15:00:00,1.3666666666666667,"A# (A#, D, F)",5
2022-06-26 16:00:00,7.966666666666667,"F# (F#, A#, C#)",5
2022-06-26 18:00:00,1.7166666666666666,"A# (A#, D, F)",5
2022-06-26 19:00:00,24.15,"Fm (F, G#, C)",4
2022-06-26 20:00:00,0.35,"B (B, D#, F#)",5
2022-06-26 21:00:00,22.633333333333333,"F#m (F#, A, C#)",4
